ID,Tốc độ gió trung bình (m/s) | Average Wind Speed (m/s),Độ lệch chuẩn (m/s) | Standard Deviation (m/s),Phân loại tốc độ gió | Wind Speed Category,Tiềm năng | Potential
0,3.7813827663204105,0.7413710099186248,3-4,Thấp | Low
73,7.952775213068182,0.08384267318276602,7-8,Cao | High
74,7.608066154414399,0.9615564816863575,7-8,Cao | High
75,4.367086622450087,1.078644584825395,4-5,Thấp | Low
76,6.342672741366732,1.7063078246468186,6-7,Cao | High
77,4.860469974029291,0.3528400804755842,4-5,Thấp | Low
78,4.928088544185203,0.7065709612394553,4-5,Thấp | Low
79,7.415614120523872,0.4694264953597293,7-8,Cao | High
80,7.1988038945018795,1.4456589083027294,7-8,Cao | High
81,7.553939475152726,0.19271793778154309,7-8,Cao | High
82,9.092330386513158,1.2132347917973605,9-10,Cao | High
83,3.906831815645292,0.7570402328103323,3-4,Thấp | Low
84,6.279411451227831,0.9802671704180846,6-7,Cao | High
85,4.972686584105712,0.537945695910422,4-5,Thấp | Low
86,4.097965604026846,0.9407940037749725,4-5,Thấp | Low
87,4.860968805128528,1.2712546890183256,4-5,Thấp | Low
88,7.833433620054714,1.7214434443199398,7-8,Cao | High
89,6.544276515741895,0.7073033580317605,6-7,Cao | High
90,7.028082953559028,0.28219717134587147,7-8,Cao | High
91,7.349282352686808,1.063386905052066,7-8,Cao | High
92,5.57001222882952,1.6396044937851204,5-6,Thấp | Low
93,8.459165276687598,1.0554059627642447,8-9,Cao | High
94,7.785682252548283,0.9024251160848804,7-8,Cao | High
95,7.984074457250412,0.30765414943603575,7-8,Cao | High
96,7.307005140516493,1.724470227904132,7-8,Cao | High
97,4.173960679879218,0.49950292410550656,4-5,Thấp | Low
98,7.655501787935323,0.5924772636717791,7-8,Cao | High
99,7.287221849291591,1.2741046840239565,7-8,Cao | High
